row_id,figure_family,ending_or_word_class,gender,vibhakti_or_operation,vaidika_form_or_range,laukika_form_or_range,category_level,initial_placement,evidence,qualification,confirmed_dv,figure_instruction,passage_references,subclaim,numerator,denominator,percentage,relation,unit,label,grade,plot_status,note
PL-14,Bahuvacanam,***अकारान्त***,all,***चतुर्थी–पञ्चमी बहुवचनम्***,The ending can be resolved as **-ebhiaḥ** in recitation,**-ebhyaḥ**,Phonetic/metrical realization,Companion,FORM · OPEN,N/A,—,"Identify this as recitational resolution, not a second written ending.",,resolved -ebhiaḥ,,,,unknown,,UNKNOWN,D,unknown,Not infrequent; audible count required
PL-15,Bahuvacanam,***अकारान्त***,all,***षष्ठी बहुवचनम्***,"Two distinct phenomena: roughly six RV examples of simple **-ām** beside **-ānām**, and a much more frequent recitational resolution of written **-ānām** across two syllables",**-ānām**,Mixed: rare alternate form / documented recitational realization,Companion; split the two subclaims visually,FORM · OPEN,RARE in part,—,Split rare simple **-ām** from recitational resolution of **-ānām**.,,simple genitive plural -ām,6,,,approximate_absolute,tokens,RARE,B,dot,
PL-15,Bahuvacanam,***अकारान्त***,all,***षष्ठी बहुवचनम्***,"Two distinct phenomena: roughly six RV examples of simple **-ām** beside **-ānām**, and a much more frequent recitational resolution of written **-ānām** across two syllables",**-ānām**,Mixed: rare alternate form / documented recitational realization,Companion; split the two subclaims visually,FORM · OPEN,RARE in part,—,Split rare simple **-ām** from recitational resolution of **-ānām**.,,resolved -ānām,,,50.0,upper_bound,tokens,UNKNOWN,B,plot,Less than half
PL-16,Bahuvacanam,first/second-person pronouns,—,***चतुर्थी बहुवचनम्***,Vedic sometimes drops the final nasal: **-bhya** beside **-bhyam**; also uses ***अस्मे / युष्मे (*asme / yuṣme*)*** as dative-locative forms,Laukika uses ***अस्मभ्यम् / युष्मभ्यम् (*asmabhyam / yuṣmabhyam*)***,Pronoun-specific,Companion,FORM · PASSAGE · FUNCTION · OPEN,N/A / UNKNOWN,REL · REC for e-form,Use ***युष्मे (*yuṣme*)*** for the e-form; keep **-bhya** open.,,asme raw spelling,210,,,raw_absolute,tokens,UNKNOWN,C,raw_only,Separate from -bhya
PL-16,Bahuvacanam,first/second-person pronouns,—,***चतुर्थी बहुवचनम्***,Vedic sometimes drops the final nasal: **-bhya** beside **-bhyam**; also uses ***अस्मे / युष्मे (*asme / yuṣme*)*** as dative-locative forms,Laukika uses ***अस्मभ्यम् / युष्मभ्यम् (*asmabhyam / yuṣmabhyam*)***,Pronoun-specific,Companion,FORM · PASSAGE · FUNCTION · OPEN,N/A / UNKNOWN,REL · REC for e-form,Use ***युष्मे (*yuṣme*)*** for the e-form; keep **-bhya** open.,,yuṣme raw spelling,6,,,raw_absolute,tokens,UNKNOWN,C,raw_only,Separate from -bhya
PL-16,Bahuvacanam,first/second-person pronouns,—,***चतुर्थी बहुवचनम्***,Vedic sometimes drops the final nasal: **-bhya** beside **-bhyam**; also uses ***अस्मे / युष्मे (*asme / yuṣme*)*** as dative-locative forms,Laukika uses ***अस्मभ्यम् / युष्मभ्यम् (*asmabhyam / yuṣmabhyam*)***,Pronoun-specific,Companion,FORM · PASSAGE · FUNCTION · OPEN,N/A / UNKNOWN,REL · REC for e-form,Use ***युष्मे (*yuṣme*)*** for the e-form; keep **-bhya** open.,,loss of final nasal in -bhya,,,,unknown,,UNKNOWN,D,unknown,
PL-17,Bahuvacanam,first/second-person pronouns,—,***षष्ठी बहुवचनम्***,Rare ***अस्माक / युष्माक (*asmāka / yuṣmāka*)*** without final nasal,Laukika ***अस्माकम् / युष्माकम् (*asmākam / yuṣmākam*)***,Rare pronoun form,Companion,FORM · OPEN,RARE,—,Mark loss of the final nasal as rare.,,asmāka and yuṣmāka against full forms,3,120,2.5,exact_checked,tokens,RARE,A,plot,Components are 1:106 and 2:11
PL-18,Bahuvacanam,second-person pronoun,f.,***द्वितीया बहुवचनम्***,Vedic has rare ***युष्माः (*yuṣmāḥ*)*** as a marked feminine accusative,Laukika ***युष्मान् (*yuṣmān*)*** without gender distinction,Rare pronoun form,Companion,FORM · OPEN,ISOLATED,—,Identify as two Vājasaneyi Saṃhitā forms; exact passages remain open.,,VS feminine yuṣmāḥ,2,,,exact_absolute,tokens,ISOLATED,B,dot,Not an RV absence claim
PL-19,Bahuvacanam,demonstratives ***अयम् / असौ***,n.,***प्रथमा–द्वितीया बहुवचनम्***,***इमा / अमू (*imā / amū*)*** beside **-āni / -ūni** forms,Laukika ***इमानि / अमूनि (*imāni / amūni*)***,Pronoun-specific,Companion,FORM · OPEN,DOMINANT,—,Morphological review gives *imā : imāni* as 63:8.,,imā against imāni,63,71,88.7,exact_annotated,tokens,DOMINANT,A,plot,One masculine-dual imā homograph excluded
PL-20,Bahuvacanam,relative pronoun ***यद् (*yad*)***,n.,***प्रथमा–द्वितीया बहुवचनम्***,***या (*yā*)*** beside ***यानि (*yāni*)***,***यानि (*yāni*)***,Pronoun-specific,Companion,FORM · OPEN,COMMON,—,Morphological review gives *yā : yāni* as 50:26.,,yā against yāni,50,76,65.8,exact_annotated,tokens,COMMON,A,plot,One hundred nine feminine-singular and masculine-dual yā homographs excluded
PL-21,Bahuvacanam,relative pronoun ***यद्***,m./n.,***तृतीया बहुवचनम्***,***येभिः (*yebhiḥ*)*** beside ***यैः (*yaiḥ*)***,***यैः (*yaiḥ*)***,Pronoun-specific,Companion,FORM · PASSAGE · FUNCTION,—,MAT · ARR · REL,Use ***येभिः (*yebhiḥ*)*** at RV 7.1.7b.,RV 7.1.7b,yebhiḥ against yaiḥ,28,28,100.0,exact_checked,tokens,DOMINANT,A,duplicate,Duplicate of PL-13 for aggregation
SG-01,Ekavacanam,***अकारान्त (*akārānta*)***,m./n.,***तृतीया एकवचनम्***,"**-ā**, **-ena**, and metrically lengthened **-enā**; e.g. ***यज्ञा / यज्ञेन / यज्ञेना (*yajñā / yajñena / yajñenā*)***",**-ena**; e.g. ***यज्ञेन (*yajñena*)***,System-wide,Appendix,FORM · PASSAGE · FUNCTION,—,MAT · ARR,Use ***महित्वा (*mahitvā*)*** at RV 2.15.6a; keep ***यज्ञा*** as an unlocated grammar example.,RV 2.15.6a,short instrumental -ā,1,9,11.1,exact_ratio,tokens,RECURRING,B,plot,Whitney RV ratio; -ena family is 8/9
SG-02,Ekavacanam,***आकारान्त (*ākārānta*)***,f.,***तृतीया एकवचनम्***,**-ayā** and contracted **-ā**; e.g. ***मनीषया / मनीषा (*manīṣayā / manīṣā*)***,**-ayā**,System-wide,Appendix,FORM · PASSAGE · FUNCTION,—,MAT · ARR,Use ***मनीषा (*manīṣā*)*** at RV 10.129.4d.,RV 10.129.4d,-ayā contracted to -ā,1,2,50.0,approximate,tokens,COMMON,B,plot,Use ≈ symbol
SG-03,Ekavacanam,***इकारान्त / उकारान्त (*ikārānta / ukārānta*)***,m./n.,***तृतीया एकवचनम्***,"Alongside **-inā / -unā**, Vedic uses **-yā / -vā**; some spellings preserve hiatus as **-iā / -uā**",**-inā / -unā**,Ending-class,Companion,FORM · PASSAGE · OPEN,—,—,Use ***पश्वा (*paśvā*)*** only as passage verification; do not claim meter until its resolved form is scanned.,,ikārānta -yā lexical breadth,5,30,16.7,exact_reported_types,lexemes,RECURRING,B,plot,Five -yā lexemes against twenty-five -inā lexemes
SG-03,Ekavacanam,***इकारान्त / उकारान्त (*ikārānta / ukārānta*)***,m./n.,***तृतीया एकवचनम्***,"Alongside **-inā / -unā**, Vedic uses **-yā / -vā**; some spellings preserve hiatus as **-iā / -uā**",**-inā / -unā**,Ending-class,Companion,FORM · PASSAGE · OPEN,—,—,Use ***पश्वा (*paśvā*)*** only as passage verification; do not claim meter until its resolved form is scanned.,,ukārānta -vā lexical breadth,4,34,11.8,exact_reported_types,lexemes,RECURRING,B,plot,Four -vā lexemes against thirty -unā lexemes
SG-04,Ekavacanam,***इकारान्त / उकारान्त***,f.,***तृतीया एकवचनम्***,"**-yā / -vā** may contract to **-ī**, and occasionally to **-i**; rare **-inā** also occurs",**-yā / -vā**,Ending-class,Companion,FORM · OPEN,RARE,—,"Attach RARE only to occasional **-i** and **-inā**, not to the common contraction.",,feminine contraction to -ī,2,3,66.7,exact_ratio,tokens,COMMON,B,plot,Occasional -i and rare -inā need separate markers
SG-05,Ekavacanam,***उकारान्त***,all,adverbial ***तृतीया एकवचनम्***,A small group uses **-uyā**,No corresponding productive laukika series,Rare class,Companion,FORM · OPEN,RARE,—,Identify the small adverbial **-uyā** class.,,adverbial -uyā breadth,6,,,approximate_absolute,lexemes,RARE,B,dot,No denominator
SG-06,Ekavacanam,***इकारान्त / उकारान्त***,m./f.,***चतुर्थी एकवचनम्***,"Alongside **-aye / -ave**, Vedic preserves the shorter **-ye / -ve**; feminine **-ī** can represent contracted **-ie**",**-aye / -ave**,Ending-class,Companion,FORM · PASSAGE · FUNCTION,—,MAT · ARR,Use ***शिश्वे (*śiśve*)*** at RV 2.34.8c.,RV 2.34.8c,short ukārānta dative -ve,3,63,4.8,upper_bound,lexemes,RARE,B,plot,Denominator is greater than 63; percentage is less than 4.8
SG-07,Ekavacanam,***इकारान्त / उकारान्त***,n.,***चतुर्थी एकवचनम्***,"Vedic uses several patterns, including **-aye, -ve, -ave**; forms with inserted **n** are sporadic",Laukika requires **-ine / -une**,Ending-class,Companion,FORM · OPEN,RECURRING,—,Morphological review finds inserted **n** in 1/18 checked tokens.,,inserted-n neuter dative tokens,1,18,5.6,exact_annotated,tokens,RECURRING,A,plot,One madhune among eighteen reviewed neuter ikārānta/ukārānta dative-singular tokens; five lexemes represented
SG-08,Ekavacanam,***इकारान्त / उकारान्त***,n.,***पञ्चमी–षष्ठी एकवचनम्***,Vedic can use the same **-eḥ / -oḥ** pattern as masculine and feminine words; **-yaḥ / -vaḥ** also occur,Laukika requires **-inaḥ / -unaḥ**,Ending-class,Companion,FORM · OPEN,—,—,Retain without a DV code.,,prevailing ukārānta genitive-ablative type,70,76,92.1,lower_bound,lexemes,DOMINANT,B,plot,Numerator is greater than 70; field is not neuter-only
SG-09,Ekavacanam,***इकारान्त / उकारान्त***,m./n.,***पञ्चमी–षष्ठी एकवचनम्***,"Alongside **-eḥ / -oḥ**, Vedic preserves **-yaḥ / -vaḥ**; rare masculine **-unaḥ** occurs",Principally **-eḥ / -oḥ** for m.; **-inaḥ / -unaḥ** for n.,Ending-class,Companion,FORM · OPEN,RARE,—,Split common **-yaḥ / -vaḥ** from very rare masculine **-unaḥ**.,,masculine -unaḥ,2,,,exact_absolute,tokens,ISOLATED,B,dot,Keep apart from common -yaḥ and -vaḥ
SG-10,Ekavacanam,***इकारान्त***,m./f./occasionally n.,***सप्तमी एकवचनम्***,"Alongside **-au**, Vedic uses **-ā**; e.g. ***अग्नौ / अग्ना (*agnau / agnā*)***",**-au**,System-wide,Appendix,FORM · PASSAGE · OPEN,—,—,Use ***अग्ना (*agnā*)*** at RV 8.27.3b; function remains open.,RV 8.27.3b,ikārānta locative -ā,1,3,33.3,derived_ratio,tokens,COMMON,B,plot,Source says -ā occurs half as often as -au
SG-10,Ekavacanam,***इकारान्त***,m./f./occasionally n.,***सप्तमी एकवचनम्***,"Alongside **-au**, Vedic uses **-ā**; e.g. ***अग्नौ / अग्ना (*agnau / agnā*)***",**-au**,System-wide,Appendix,FORM · PASSAGE · OPEN,—,—,Use ***अग्ना (*agnā*)*** at RV 8.27.3b; function remains open.,RV 8.27.3b,agnā lexical check,8,30,26.7,exact_checked,tokens,COMMON,A,plot,Supporting lexeme rather than class rate
SG-11,Ekavacanam,***इकारान्त***,several,***सप्तमी एकवचनम्***,"A small group uses **-ī**, treated as *pragṛhya*",No corresponding productive laukika series,Rare class,Companion,FORM · PASSAGE · FUNCTION,RARE,REL · REC,Use ***वेदी अस्याम् (*vedī asyām*)*** at RV 2.3.4b and mark *pragṛhya*.,RV 2.3.4b,locatives in -ī,6,,,approximate_absolute,forms,RARE,B,dot,About six reported
SG-12,Ekavacanam,"***उकारान्त***, with a doubtful ***इकारान्त*** parallel",m./n.,***सप्तमी एकवचनम्***,Secure Vedic **-avi** occurs repeatedly; Whitney reports only doubtful traces of parallel ***इकारान्त*** **-ayi**,**-au** for m./f.; **-uni** for n.,Mixed: documented **-avi** / doubtful **-ayi**,Companion; split the two subclaims visually,FORM · PASSAGE · FUNCTION,DOUBTFUL in part,MAT · ARR for **-avi**,Split verified **-avi** from doubtful **-ayi**.,,sānavi against sānau,9,28,32.1,exact_checked,tokens,COMMON,A,plot,Checked lexeme only; -ayi excluded as doubtful
SG-13,Ekavacanam,***इकारान्त / उकारान्त***,n.,***सप्तमी एकवचनम्***,This is a distributional absence rather than an alternate form: equivalents of laukika **-ini** are absent from the oldest checked corpus and **-uni** is very rare,Laukika requires **-ini / -uni**,Absence/distribution,Companion with an absence marker,FORM,ABSENCE,—,"Draw as a distribution note, not as an alternate Vedic ending.",,neuter locative -ini,0,,,defined_absence,forms,ABSENT,B,zero,Do not apply zero to rare -uni
SG-14,Ekavacanam,monosyllabic ***ईकारान्त / ऊकारान्त***,mostly f.,"***चतुर्थी, पञ्चमी–षष्ठी, सप्तमी एकवचनम्***",Vedic uses the shorter inherited series and normally lacks the optional expanded feminine endings,"Laukika permits expanded **-yai, -yāḥ, -yām / -vai, -vāḥ, -vām** forms",Reverse difference,Companion,FORM · OPEN,ABSENCE · one doubtful exception,—,Use an absence treatment with doubtful *bhiyāi* once.,,long-vowel class comparison,,,,unknown,,UNKNOWN,U,unknown,
SG-15,Ekavacanam,derivative ***आकारान्त***,f.,***तृतीया एकवचनम्***,The ending and final vowel often contract to **-ā**,Laukika uses **-ayā**,System-wide,Appendix with SG-02,FORM · PASSAGE · FUNCTION,—,MAT · ARR,Cross-reference SG-02; both use the ***मनीषा*** passage.,,derivative ākārānta contraction,1,2,50.0,approximate,tokens,COMMON,B,plot,Shares SG-02 field
SG-16,Ekavacanam,derivative ***ईकारान्त***,f.,***तृतीया एकवचनम्***,"**-yā** can contract to **-ī**, and occasionally **-i**",**-yā**,Ending-class,Companion,FORM · OPEN,DOMINANT in checked lexeme,—,Show *śamī/śami : śamyā* as 8:2.,,śamī/śami against śamyā,8,10,80.0,exact_annotated,tokens,DOMINANT,A,plot,Checked lexeme: śamī 3; śami 5; uncontracted śamyā 2
SG-17,Ekavacanam,derivative ***ईकारान्त***,f.,***सप्तमी एकवचनम्***,A small group uses **-ī**,**-yām**,Rare class,Companion,FORM · OPEN,ISOLATED,—,Use the single checked *gaurī* locative.,,gaurī locative singular,1,,,exact_annotated,tokens,ISOLATED,A,dot,One checked locative-singular token
SG-18,Ekavacanam,***ऋकारान्त (*ṛkārānta*)***,m./f.,***सप्तमी एकवचनम्***,A few Vedic words lengthen the final **i** of the ending: **-arī**,**-ari**,Rare class,Companion,FORM · OPEN,UNKNOWN,—,Whitney's *kartarī* and VedaWeb's *kartari* require reconciliation.,,ṛkārānta locative -ī,,,,source_corpus_conflict,,UNKNOWN,D,unknown,Whitney prints kartarī; VedaWeb annotates the sole token as kartari at RV 1.139.7f
SG-19,Ekavacanam,***अन् / मन् / वन्-अन्त*** words,all,***सप्तमी एकवचनम्***,"Vedic often keeps the fuller form in **-ani** and also uses a shortened form with no final **i**, such as ***मूर्धन् (*mūrdhan*)***",Laukika commonly uses **-ni** or **-ani** according to the word,Class-level,Companion,FORM · PASSAGE · FUNCTION · OPEN,—,MAT · ARR for endingless locative,Use ***मूर्धन् (*mūrdhan*)*** at RV 9.17.6b; keep fuller and reduced subcategories open.,RV 9.17.6b,mūrdhan against mūrdhani,6,12,50.0,exact_checked,tokens,COMMON,A,plot,Checked lexeme; source says class-wide short form is more frequent
SG-20,Ekavacanam,***मन्-अन्त*** words,all,***तृतीया एकवचनम्***,"A small group drops more of the word-body before **-ā**, producing forms such as **mahinā** beside the fuller formation",Laukika uses the regular reduced formation,Rare class,Companion,FORM · PASSAGE · OPEN,RARE,—,Use ***महिना (*mahinā*)*** at RV 10.28.7d; print no DV code.,RV 10.28.7d,mahinā against mahimnā,38,41,92.7,exact_checked,tokens,DOMINANT,A,plot,Checked lexeme only
SG-20,Ekavacanam,***मन्-अन्त*** words,all,***तृतीया एकवचनम्***,"A small group drops more of the word-body before **-ā**, producing forms such as **mahinā** beside the fuller formation",Laukika uses the regular reduced formation,Rare class,Companion,FORM · PASSAGE · OPEN,RARE,—,Use ***महिना (*mahinā*)*** at RV 10.28.7d; print no DV code.,RV 10.28.7d,abbreviated instrumental lexical class,6,,,exact_absolute,lexemes,RARE,B,dot,Two additional analyses are doubtful
SG-21,Ekavacanam,***मन् / वन्-अन्त*** words,all,other weak-form cases,Vedic sometimes retains **a** before the ending where laukika uses the reduced form,Laukika normally reduces the form before these endings,Class-level,Companion,FORM · PASSAGE · OPEN,—,—,Use ***भूमना (*bhūmanā*)*** at RV 10.31.6b; print no DV code.,RV 10.31.6b,retained-a instances against metrically restored-a instances,1,2,50.0,approximate,two_source_groups,COMMON,B,plot,Source says about as numerous
SG-22,Ekavacanam,***मत् / वत्-अन्त*** adjectives,m.,***संबोधन एकवचनम्***,Vedic regularly uses **-as**; e.g. ***भगवस् (*bhagavas*)***,Laukika uses **-an**; e.g. ***भगवन् (*bhagavan*)***,System-wide,Appendix,FORM · PASSAGE · OPEN,—,—,"Use ***हरिवः (*harivaḥ*)*** at RV 8.2.13c; direct address is verified, alternate-ending purpose is open.",RV 8.2.13c,mant-vant RV vocative -as,100,100,100.0,lower_bound,tokens,DOMINANT,B,plot,More than 100 -as and zero unquestionable -an
SG-23,Ekavacanam,perfect participles ending in ***-वांस् / -वस्***,m.,***संबोधन एकवचनम्***,Vedic uses **-vas**,Laukika uses **-van**,System-wide,Appendix or Companion,FORM · PASSAGE · OPEN,—,—,"Use ***चिकित्वः (*cikitvaḥ*)*** at RV 3.25.1c; direct address is verified, alternate-ending purpose is open.",RV 3.25.1c,cikitvaḥ against cikitvan,11,11,100.0,exact_checked,tokens,DOMINANT,A,plot,Checked lexeme
SG-24,Ekavacanam,comparative adjectives ending in ***-यांस् / -यस्***,m.,***संबोधन एकवचनम्***,Vedic uses **-yas**,Laukika uses **-yan**,System-wide,Appendix or Companion,FORM · PASSAGE · OPEN,RARE,—,Use ***ओजीयः (*ojīyaḥ*)*** at RV 10.120.4c; print no DV code.,RV 10.120.4c,ojīyaḥ,2,,,exact_checked,tokens,ISOLATED,A,dot,No examples outside RV reported
SG-25,Ekavacanam,some ***वन्-अन्त*** words,m.,***संबोधन एकवचनम्***,Vedic occasionally extends the **-vas** pattern to this class,Laukika uses the expected ***वन्*** form,Rare transfer,Companion,FORM · OPEN,RARE / DOUBTFUL in part,—,Omit the doubtful member from any displayed example.,,secure van-ending extensions,5,,,approximate_absolute,lexemes,RARE,B,dot,One additional member doubtful
SG-25,Ekavacanam,some ***वन्-अन्त*** words,m.,***संबोधन एकवचनम्***,Vedic occasionally extends the **-vas** pattern to this class,Laukika uses the expected ***वन्*** form,Rare transfer,Companion,FORM · OPEN,RARE / DOUBTFUL in part,—,Omit the doubtful member from any displayed example.,,doubtful van-ending extension,1,,,doubtful_absolute,lexeme,DOUBTFUL,B,no_plot,
SG-26,Ekavacanam,first/second-person pronoun,—,***तृतीया एकवचनम्***,Vedic occasionally has ***त्वा (*tvā*)***,Laukika uses ***त्वया (*tvayā*)***,Rare but clear,Companion,FORM · OPEN,RECURRING,—,Morphological review gives instrumental *tvā : tvayā* as 5:45.,,instrumental tvā against tvayā,5,50,10.0,exact_annotated,tokens,RECURRING,A,plot,Five instrumental tvā and forty-five instrumental tvayā; 590 other tvā homographs excluded
SG-27,Ekavacanam,first/second-person pronoun,—,***चतुर्थी / सप्तमी एकवचनम्***,Vedic has forms such as ***त्वे (*tve*)*** and rare ***मे (*me*)*** with case values wider than their laukika use,Laukika uses ***तुभ्यम् / त्वयि (*tubhyam / tvayi*)*** and ***मह्यम् / मयि (*mahyam / mayi*)***,Pronoun-specific,Companion,FORM · PASSAGE · FUNCTION,N/A · absolute counts,REL · REC,Use ***युष्मे इत् (*yuṣme id*)*** and ***त्वे इत् (*tve id*)*** as *pragṛhya* examples.,,asme pronoun form,212,,,exact_annotated,tokens,N/A,A,dot,Relation is untagged in many tokens; do not compare directly with asmabhyam
SG-27,Ekavacanam,first/second-person pronoun,—,***चतुर्थी / सप्तमी एकवचनम्***,Vedic has forms such as ***त्वे (*tve*)*** and rare ***मे (*me*)*** with case values wider than their laukika use,Laukika uses ***तुभ्यम् / त्वयि (*tubhyam / tvayi*)*** and ***मह्यम् / मयि (*mahyam / mayi*)***,Pronoun-specific,Companion,FORM · PASSAGE · FUNCTION,N/A · absolute counts,REL · REC,Use ***युष्मे इत् (*yuṣme id*)*** and ***त्वे इत् (*tve id*)*** as *pragṛhya* examples.,,yuṣme pronoun form,6,,,exact_annotated,tokens,N/A,A,dot,All six are plural pronoun tokens; do not compare directly with yuṣmabhyam
SG-28,Ekavacanam,***अयम् (*ayam*)*** demonstrative family,all,***तृतीया एकवचनम्***,"Vedic has additional ***एना / अया (*enā / ayā*)*** forms, often adverbial",Laukika uses the regular demonstrative forms,Pronoun-specific,Companion,FORM · OPEN,RECURRING · absolute counts,—,Preserve *enā* 38 and *ayā* 25 as separate dots.,,enā demonstrative instrumental,38,,,exact_annotated,tokens,RECURRING,A,dot,All thirty-eight are annotated instrumental singular
SG-28,Ekavacanam,***अयम् (*ayam*)*** demonstrative family,all,***तृतीया एकवचनम्***,"Vedic has additional ***एना / अया (*enā / ayā*)*** forms, often adverbial",Laukika uses the regular demonstrative forms,Pronoun-specific,Companion,FORM · OPEN,RECURRING · absolute counts,—,Preserve *enā* 38 and *ayā* 25 as separate dots.,,ayā demonstrative instrumental,25,,,exact_annotated,tokens,RECURRING,A,dot,One verbal homograph excluded
SG-29,Ekavacanam,***त्य (*tya*)*** demonstrative family,f.,***तृतीया एकवचनम्***,Vedic uses contracted ***त्या (*tyā*)***,This pronoun largely disappears from laukika use,Pronoun-specific,Companion,FORM · OPEN,ISOLATED,—,One instrumental token survives morphological review.,,tyā demonstrative instrumental,1,,,exact_annotated,tokens,ISOLATED,A,dot,Twenty homographs in other relations excluded; no tyayā token found
