upasarga_id,upasarga_order,upasarga_source_forms_slp1,base_count_key,base_source_codes,base_citations_slp1,base_meaning_slp1,base_meaning_display,output_forms_slp1,output_variant_count,reason,rule_refs,count_status
su,15,su,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),supazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
upa,20,upa,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),upaSaMs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
upa,20,upa,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),upaSAs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
upa,20,upa,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),upai,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
upa,20,upa,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),upai,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
upa,20,upa,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),upakrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
upa,20,upa,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),upasAdi;upasad,2,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
upa,20,upa,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),upapazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
ut,16,ut,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),ucCaMs;ucSaMs,2,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
ut,16,ut,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),ucCAs;ucSAs,2,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
ut,16,ut,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),udi,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
ut,16,ut,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),udi,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
ut,16,ut,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),utkrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
ut,16,ut,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),utsAdi;utsad,2,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
ut,16,ut,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),utpazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
vi,9,vi,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),viSaMs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
vi,9,vi,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),viSAs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
vi,9,vi,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),vii,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
vi,9,vi,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),vii,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
vi,9,vi,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),vikrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
vi,9,vi,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),visAdi;visad,2,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
vi,9,vi,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),vipazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
